id,lemma,count
360,tuba,4564
361,tõstma,4560
362,eestlane,4546
363,juriidiline,4540
364,ühiskond,4539
365,tõesti,4532
366,üsna,4528
367,tänav,4506
368,sinna,4501
369,täiesti,4499
370,areng,4492
371,õpetaja,4480
372,tohtima,4476
373,hind,4443
374,hindama,4427
375,patsient,4394
376,paistma,4384
377,märkima,4373
378,lõpetama,4368
379,kõrge,4350
380,pilt,4348
381,õppima,4341
382,järele,4336
383,eelmine,4335
384,tase,4314
385,firma,4308
386,ettevõte,4295
387,kuhu,4290
388,meeldima,4262
389,selg,4251
390,terve,4221
391,kiri,4201
392,valge,4200
393,ometi,4159
394,vastavalt,4149
395,avaldama,4137
396,vastus,4133
397,hulk,4123
398,kümme,4120
399,analüüs,4119
400,olev,4084
401,laud,4077
402,sõber,4074
403,selguma,4066
404,pilk,4054
405,tunnistama,4048
406,ajalugu,4048
407,puuduma,4028
408,lootma,4012
409,hinnang,4006
410,seetõttu,4003
411,täitma,3998
412,mõjutama,3994
413,surema,3987
414,protsent,3982
415,moodustama,3977
416,seos,3969
417,mäng,3968
418,tõmbama,3929
419,selgitama,3915
420,võimaldama,3900
421,väiksem,3883
422,kohaselt,3879
423,ajal,3863
424,kõrval,3862
425,piir,3855
426,tähendus,3854
427,jumal,3852
428,sööma,3824
429,liikuma,3808
430,tähelepanu,3802
431,tekitama,3800
432,suu,3798
433,vajama,3787
434,parim,3784
435,väitma,3782
436,muutus,3771
437,teema,3753
438,hommik,3752
439,pigem,3746
440,tegu,3740
441,kohus,3740
442,kirjeldama,3729
443,sotsiaalne,3726
444,nõukogu,3722
445,eelkõige,3719
446,abil,3717
447,õpilane,3701
448,ülesanne,3675
449,praegune,3666
450,mõiste,3663
451,surm,3657
452,tugev,3651
453,artikkel,3651
454,kahju,3634
455,märkama,3625
456,must,3620
457,valmis,3615
458,paluma,3615
459,ikkagi,3607
460,ilus,3601
461,haige,3595
462,kaotama,3588
463,ravi,3587
464,projekt,3575
465,abi,3573
466,teadmine,3551
467,kartma,3550
468,film,3549
469,sõltuma,3533
470,haigus,3531
471,ruum,3519
472,näiteks,3518
473,uurimus,3502
474,taas,3500
475,sageli,3487
476,veidi,3484
477,järel,3481
478,süda,3467
479,korraldama,3464
480,meetod,3463
481,langema,3462
482,vähe,3455
483,protsess,3451
484,vaba,3444
485,täpselt,3441
486,punkt,3441
487,erinevus,3441
488,materjal,3439
489,sündima,3435
490,enamik,3428
491,katse,3425
492,õhk,3395
493,kõrgem,3393
494,taim,3392
495,sattuma,3359
496,kuidagi,3356
497,ligi,3354
498,tingimus,3353
499,seni,3342
500,võitma,3337
501,pank,3334
502,endine,3320
503,asjaolu,3315
504,aken,3295
505,mets,3293
506,poeg,3291
507,mäletama,3287
508,hulgas,3281
509,roll,3270
510,ainus,3269
511,tegelema,3266
512,politsei,3264
513,loom,3256
514,pääsema,3246
515,lõppema,3240
516,oluliselt,3234
517,müüma,3228
518,käsitlema,3223
519,sealt,3213
520,kirik,3209
521,valik,3202
522,tavaliselt,3202
523,ärama,3196
524,eks,3187
525,rida,3186
526,jätkama,3185
527,tunne,3183
528,rahvusvaheline,3178
529,organisatsioon,3178
530,jõud,3172
531,kiiresti,3168
532,toetama,3165
533,kujutama,3164
534,kuulama,3159
535,kust,3141
536,vorm,3127
537,leping,3127
538,põhjal,3106
539,magama,3094
540,naerma,3083
541,natuke,3077
542,pere,3075
543,võib-olla,3074
544,üksnes,3054
545,poliitiline,3036
546,jagama,3032
547,idee,3027
548,nõue,3026
549,mudel,3024
550,uurimine,3022
551,kirjandus,3019
552,tühi,3018
553,punane,3016
554,siia,3010
555,käesolev,3001
556,tulevik,2993
557,hing,2990
558,suhteliselt,2987
559,kohustus,2985
560,minut,2983
561,juhtima,2979
562,meenutama,2978
563,lihtne,2975
564,pöörama,2968
565,kujunema,2963
566,ehitama,2954
567,näima,2952
568,programm,2942
569,uuesti,2940
570,sobima,2932
571,kultuur,2930
572,jooksma,2930
573,reegel,2922
574,muidu,2921
575,lahkuma,2919
576,tüüp,2915
577,konkreetne,2913
578,põhjustama,2911
579,võim,2910
580,otsa,2905
581,mööduma,2896
582,ala,2895
583,keskkond,2894
584,esindaja,2872
585,samm,2868
586,tähtis,2861
587,peal,2861
588,seejärel,2859
589,küla,2859
590,õnn,2854
591,võõras,2840
592,muusika,2833
593,suvi,2810
594,arvuti,2809
595,viga,2799
596,näitaja,2794
597,klient,2778
598,õnnestuma,2777
599,ringi,2772
600,kogemus,2771
601,vastutus,2770
602,asemel,2768
603,sellepärast,2767
604,loomulikult,2766
605,kõrvale,2763
606,keha,2761
607,käitumine,2759
608,liit,2751
609,toime,2747
610,tuttav,2740
611,sõda,2739
612,sisaldama,2738
613,suurim,2733
614,vahele,2727
615,teenus,2718
616,üldine,2715
617,saavutama,2714
618,jooma,2712
619,viskama,2709
620,funktsioon,2707
621,loomine,2700
622,korter,2699
623,ehkki,2698
624,määr,2692
625,osalema,2688
626,lähtuma,2687
627,omavalitsus,2683
628,lausuma,2680
629,avalik,2677
630,puu,2674
631,külm,2671
632,kuus,2664
633,tavaline,2662
634,tagama,2662
635,positiivne,2660
636,pisut,2659
637,suurenema,2656
638,soov,2653
639,enamasti,2653
640,vald,2651
641,äkki,2650
642,lausa,2643
643,sarnane,2641
644,huvitav,2638
645,jälgima,2636
646,lehm,2633
647,periood,2624
648,plaan,2621
649,turg,2620
650,seletama,2618
651,amet,2617
652,laul,2616
653,omanik,2593
654,otse,2592
655,armastama,2590
656,osutuma,2584
657,esimees,2578
658,põhimõte,2564
659,öö,2555
660,sein,2552
661,muld,2549
662,kiire,2549
663,seadma,2546
664,käigus,2530
665,lahendus,2529
666,osas,2525
667,vend,2519
668,sundima,2517
669,vahend,2516
670,struktuur,2516
671,rühm,2513
672,tuhat,2508
673,heitma,2506
674,teenima,2504
675,halb,2503
676,paremini,2495
677,kasv,2494
678,koguma,2493
679,leiduma,2488
680,palk,2481
681,nõnda,2479
682,unustama,2475
683,elanik,2475
684,tunnus,2472
685,viitama,2466
686,soovitama,2462
687,arvamus,2461
688,kvaliteet,2459
689,alates,2458
690,teater,2454
691,sees,2447
692,kuju,2445
693,seas,2441
694,kukkuma,2438
695,justkui,2437
696,suurus,2436
697,üritama,2434
698,nimelt,2433
699,mil,2429
700,esile,2422
701,armastus,2421
702,peamine,2419
703,grupp,2415
704,tänu,2403
705,puhas,2401
706,leht,2396
707,ühine,2394
708,eriline,2392
709,toetus,2387
710,sündmus,2387
711,koostöö,2387
712,kaua,2384
713,vähendama,2381
714,üksik,2377
715,märk,2365
716,teade,2357
717,rõhutama,2356
718,haarama,2356
719,suunama,2350
720,informatsioon,2350
721,kõne,2348
722,tihti,2344
723,klass,2343
724,kohtumine,2336
725,haigla,2336
726,veelgi,2334
727,kirjanik,2326
728,omadus,2323
729,saabuma,2321
730,kaitsma,2316
731,jätkuma,2315
732,madal,2313
733,lause,2307
734,soe,2305
735,pöörduma,2302
736,foto,2302
737,päike,2289
738,peamiselt,2286
739,tegur,2280
740,piirkond,2280
741,haridus,2280
742,tõsi,2278
743,kavatsema,2273
744,no,2272
745,analüüsima,2271
746,teos,2266
747,valmistama,2264
748,sisu,2262
749,veri,2259
750,vähenema,2256
751,hulka,2255
752,lükkama,2243
753,ettepanek,2236
754,algul,2236
755,piim,2234
756,hoone,2224
757,süü,2221
758,perekond,2220
759,objekt,2213
760,venelane,2211
761,valdkond,2209
762,seoses,2208
763,kokkulepe,2208
764,tütar,2204
765,taha,2202
766,tänapäev,2200
767,järgnema,2199
768,korraga,2198
769,varasem,2197
770,juhataja,2197
771,variant,2195
772,vanus,2195
773,liikumine,2191
774,allikas,2191
775,riiklik,2190
776,üha,2183
777,paik,2176
778,piisavalt,2172
779,noh,2169
780,senine,2168
781,kontrollima,2166
782,sada,2159
783,olemasolu,2155
784,koostama,2151
785,ajaleht,2146
786,alt,2144
787,kasu,2142
788,talu,2137
789,tõeline,2130
790,huvitama,2129
791,suund,2127
792,külg,2126
793,voodi,2123
794,tagajärg,2122
795,eraldi,2119
796,õpetama,2117
797,koer,2116
798,koguni,2109
799,rakendama,2106
800,valimine,2104
801,kestma,2097
802,vahe,2096
803,tervis,2096
804,kontekst,2096
805,vahetama,2095
806,lühike,2094
807,riigikogu,2084
808,juuli,2084
809,meeskond,2082
810,kasutus,2082
811,vabariik,2081
812,tasuma,2080
813,hindamine,2080
814,komme,2078
815,väide,2075
816,valgus,2074
817,mai,2067
818,ületama,2065
819,kevad,2064
820,õlg,2063
821,sisaldus,2062
822,tükk,2056
823,juhatus,2053
824,tõepoolest,2051
